Title,Licensee,Released
Super Adventure Island II,Hudson Soft,1994-10-01
"Super Aquatic Games Starring The Aquabats, The",Seika,1993-10-01
Super Baseball 2020,Tradewest,1993-07-01
Super Baseball Simulator 1.000,Culture Brain,1991-12-01
Super Bases Loaded,Jaleco,1991-09-01
Super Bases Loaded 2,Jaleco,1994-02-01
Super Bases Loaded 3: License to Steal,Jaleco,1995-02-01
Super Batter Up,Namco,1992-10-01
Super Battleship,Majesco,1993-11-01
Super Battletank 2: War in the Gulf,Absolute,1994-01-01
Super Battletank: War in the Gulf,Absolute,1992-06-01
Super Black Bass,Majesco,1993-05-01
Super Bomberman,Hudson Soft,1993-09-01
Super Bomberman 2,Nintendo,1994-09-01
Super Bonk,Hudson Soft,1994-11-01
Super Bowling,American Technos,1992-09-01
Super Buster Bros.,Capcom,1992-10-01
Super Caesars Palace,Majesco,1993-10-01
Super Castlevania IV,Konami,1991-12-01
Super Chase HQ,Taito Software,1993-12-01
Super Conflict: The Mideast,Vic Tokai,1993-03-01
Super Double Dragon,Tradewest,1992-10-01
Super E.D.F.: Earth Defense Force,Jaleco,1992-01-01
Super Empire Strikes Back,Majesco,1993-10-01
Super Ghouls 'N Ghosts,Capcom,1991-11-01
Super Goal! Two,Jaleco,1994-04-01
Super Godzilla,Toho,1994-07-01
Super High Impact,Acclaim,1993-06-01
Super James Pond,American Softworks,1993-07-01
Super Mario All-Stars,Nintendo,1993-08-01
Super Mario Kart,Nintendo,1992-09-01
Super Mario RPG: Legend of the Seven Stars,Nintendo,1996-05-01
Super Mario World,Nintendo,1991-08-01
Super Metroid,Nintendo,1994-04-01
Super Ninja Boy,Culture Brain,1993-04-01
Super Nova,Taito Software,1993-12-01
Super Off Road,Tradewest,1991-12-01
Super Off Road: The Baja,Tradewest,1993-09-01
Super Pinball: Behind the Mask,Nintendo,1994-11-01
Super Play Action Football,Nintendo,1992-08-01
Super Punch-Out!!,Nintendo,1994-10-01
